"","Fire","Transect","Treated","Diameter","ScorchHt","CharHt","Slope","fake"
"411",3,17,1,-0.135,0.132,2.646,-0.812,1.86683411928898
"412",3,17,1,0.3,0.643,2.846,-0.812,1.4418772064804
"413",3,18,0,1.677,2.178,1.385,0.218,-1.16074524248233
"414",3,18,0,0.155,0.756,3.674,0.218,0.681304386011378
"415",3,18,0,2.185,2.054,3.674,0.218,-0.947608992479306
"416",3,18,0,0.155,0.793,0.97,0.218,0.228987046995238
"417",3,18,0,2.185,0.993,3.033,1.101,0.690938356402551
"418",3,18,0,1.677,1.018,3.592,1.101,1.21524653141151
"419",3,18,0,1.46,0.918,2.793,1.101,-1.76205832720161
"420",3,18,0,-0.86,-0.155,3.772,1.101,-3.29545797888741
"421",3,18,0,0.735,0.781,3.45,1.69,1.2265515099644
"422",3,18,0,-0.788,-0.018,2.646,1.69,-1.05867000697608
"423",3,18,0,-0.86,-0.118,2.258,1.69,-0.328066021569955
"424",3,18,0,1.315,1.18,2.683,1.69,0.229611406887978
"425",3,18,0,0.88,1.517,4.243,3.308,0.388068812705485
"426",3,18,0,-0.425,0.069,3,3.308,-0.0630102110907732
"427",3,18,0,0.082,0.968,0.966,3.308,0.394600259035198
"428",3,18,0,1.75,0.406,3.464,3.308,-0.418756491371502
"429",3,18,0,0.372,1.292,1.571,2.352,-0.704918859685529
"430",3,18,0,0.155,0.93,0.858,2.352,1.25109008854835
"431",3,18,0,0.59,0.818,0.844,2.352,0.798641436886252
"432",3,18,0,1.605,0.955,0.911,2.352,-0.912136980000839
"433",3,18,0,-0.135,1.055,0.035,1.69,1.19047448821516
"434",3,18,0,-0.57,-0.155,1.706,1.69,0.0154313038652456
"435",3,18,0,-0.135,0.643,1.547,1.69,1.38145403779438
"436",3,18,0,-0.425,0.032,1.486,1.69,0.497441251636391
"437",4,19,0,0.662,-0.343,1.844,-0.591,0.144658969262486
"438",4,19,0,0.735,-0.467,2.121,-0.591,1.23111443183273
"439",4,19,0,0.155,-0.655,1.871,-0.591,0.795516491680742
"440",4,19,0,0.227,-1.029,2,-0.591,1.6754381676598
"441",4,19,0,-0.643,-0.467,1.871,-0.959,0.890580258135353
"442",4,19,0,1.387,-0.804,1.732,-0.959,-0.244266693251629
"443",4,19,0,0.227,-0.343,3.162,-0.959,-0.276766394257252
"444",4,19,0,0.952,-0.343,2.345,-0.959,-0.0894980397662672
"445",4,19,0,0.155,-0.767,2,-0.665,-0.353775781993456
"446",4,19,0,-1.078,-0.992,1.265,-0.665,-0.203290766944088
"447",4,19,0,0.807,-0.48,2.236,-0.665,0.55883747800279
"448",4,19,0,0.59,-0.592,2.236,-0.665,1.18997873168769
"449",4,19,0,0.184,-0.742,2.236,-0.959,1.7130956102724
"450",4,19,0,-0.817,-0.43,2.449,-0.959,0.0848182253263372
"451",4,19,0,1.17,-0.467,2.55,-0.959,2.07188683796485
"452",4,19,0,1.605,-0.754,2.588,-0.959,0.983554905834076
"453",4,19,0,0.59,-0.904,1.871,-1.106,-0.43688836957168
"454",4,19,0,1.895,-0.655,2.121,-1.106,-0.890623835842085
"455",4,19,0,1.257,-0.53,2.55,-1.106,-1.41077297382818
"456",4,19,0,1.75,-0.218,2.646,-1.106,-0.108206770499273
"457",4,20,1,-0.788,-1.154,0.447,-1.18,-0.49955399461803
"458",4,20,1,1.097,-0.542,2.121,-1.18,1.24818215472414
"459",4,20,1,1.3,-0.467,2.828,-1.18,0.0694709417409269
"460",4,20,1,-0.382,0.057,3.082,-1.18,1.2232257175404
"461",4,20,1,0.662,-0.218,0.866,-1.18,-0.345583309562529
"462",4,20,1,0.111,-0.343,2.236,-1.18,-1.19222234506896
"463",4,20,1,0.401,-0.467,2.121,-1.18,1.57272483996016
"464",4,20,1,0.474,-0.655,2,-1.18,-0.401989251236251
"465",4,20,1,-0.092,-0.467,0.548,-1.253,0.629444932976463
"466",4,20,1,0.88,-0.592,1.732,-1.253,2.25293734882142
"467",4,20,1,0.662,-0.467,1.414,-1.253,-0.684914118170037
"468",4,20,1,0.372,-0.417,2,-1.253,-0.593186625056006
"469",4,20,1,0.082,-0.467,1.095,-1.18,0.460432449408921
"470",4,20,1,0.88,0.069,1.14,-1.18,-0.274512377027776
"471",4,20,1,0.155,0.032,1.225,-1.18,0.829949064174087
"472",4,20,1,0.807,-0.467,1.049,-1.18,-0.221267537100272
"473",4,20,1,0.14,-1.466,1,-0.959,-0.851087847989753
"474",4,20,1,-0.237,-0.405,2.449,-0.959,-0.17812499585999
"475",4,20,1,1.097,-0.393,2.55,-0.959,-0.386496285687569
"476",4,20,1,0.01,-0.218,1.095,-0.959,-0.906421795036355
"477",4,21,0,-0.425,-1.091,1.414,-0.444,0.0223876869005472
"478",4,21,0,-0.483,-1.029,1.414,-0.444,-0.481615307985363
"479",4,21,0,-0.875,-1.216,1.225,-0.444,1.39879031470669
"480",4,21,0,-1.121,-0.842,1.414,-0.444,2.47910967128535
"481",4,21,0,0.227,-0.343,3.162,-0.517,-0.282849497528208
"482",4,21,0,1.17,-0.854,2.121,-0.517,2.00791665102843
"483",4,21,0,0.474,-0.842,1.732,-0.517,-1.81200289574858
"484",4,21,0,-0.15,-0.779,1.414,-0.517,0.258495557101478
"485",4,21,0,0.662,-0.343,1.844,-0.665,1.56383223457125
"486",4,21,0,0.735,-0.467,2.121,-0.665,-1.80982633652969
"487",4,21,0,0.155,-0.655,1.871,-0.665,1.70034999615672
"488",4,21,0,0.227,-1.029,2,-0.665,-0.4724538887014
"489",4,21,0,0.358,0.169,2,-0.37,-0.0429984759076981
"490",4,21,0,-0.541,-0.343,2,-0.37,0.212987596678265
"491",4,21,0,-0.498,-0.155,1.871,-0.37,-0.235407285242472
"492",4,21,0,-0.063,-0.467,2.345,-0.37,-0.122236981823463
"493",4,21,0,-0.048,-0.467,2,-0.665,1.03011354230619
"494",4,21,0,0.474,0.094,2.121,-0.665,0.111859761727004
"495",4,21,0,0.387,0.094,2.449,-0.665,0.425675550411784
"496",4,21,0,0.198,-0.243,2.646,-0.665,-0.171086249991263
"497",4,22,1,0.271,-0.218,2.345,-0.959,-0.609103330203516
"498",4,22,1,-0.106,0.406,1.871,-0.959,0.757771534420437
"499",4,22,1,-0.28,0.094,2,-0.959,0.413666379739484
"500",4,22,1,1.01,1.28,2.739,-0.959,-0.491949209797617
"501",4,22,1,0.488,0.868,3.033,-1.106,0.661791357543011
"502",4,22,1,-0.86,-0.58,2.55,-1.106,-0.0579008105845171
"503",4,22,1,-0.933,-0.692,2.28,-1.106,-0.230985074292651
"504",4,22,1,-0.643,-0.318,2.739,-1.106,1.35695303378623
"505",4,22,1,0.662,0.568,2.828,-0.959,0.41928048482234
"506",4,22,1,-0.425,-0.38,2.236,-0.959,0.0147769333708642
"507",4,22,1,0.01,-0.817,1.581,-0.959,-0.166165651086378
"508",4,22,1,1.634,-0.655,2,-0.959,-0.62281891883119
"509",4,22,1,0.227,-0.842,1.581,-1.106,1.3771628512952
"510",4,22,1,-0.672,-0.842,1.225,-1.106,-0.68570344974164
"511",4,22,1,-0.933,-0.467,1.183,-1.106,-0.642704939748771
"512",4,22,1,0.445,-0.842,1.871,-1.106,0.000188030240706505
"513",4,22,1,0.981,-0.592,1.871,-1.106,-0.442335128740787
"514",4,22,1,0.082,-0.567,2,-1.106,0.840411176928488
"515",4,22,1,1.387,-0.218,1.414,-1.106,-0.901478006431402
"516",4,22,1,0.227,-0.417,1.414,-1.106,-1.08597341548094
"517",5,23,0,-1.583,-1.054,1.817,0.071,0.780753706982461
